feature1;feature2;correlation;strength
dpm;opp_assistsat15;0.5173480673;average
damageshare;opp_assistsat15;-0.2332016551;low
damagetakenperminute;opp_assistsat15;0.6188681209;average
damagemitigatedperminute;opp_assistsat15;0.5329914406;average
damagetotowers;opp_assistsat15;0.2616406937;low
wardsplaced;opp_assistsat15;0.4632734981;average
wpm;opp_assistsat15;0.5063888112;average
wardskilled;opp_assistsat15;0.4460043256;average
wcpm;opp_assistsat15;0.4942976019;average
controlwardsbought;opp_assistsat15;0.4761637752;average
visionscore;opp_assistsat15;0.4965567657;average
vspm;opp_assistsat15;0.5475890294;average
totalgold;opp_assistsat15;0.5185197996;average
earnedgold;opp_assistsat15;0.4858443683;average
earned gpm;opp_assistsat15;0.5174879165;average
earnedgoldshare;opp_assistsat15;-0.2772593528;low
goldspent;opp_assistsat15;0.5259700008;average
gspd;opp_assistsat15;-0.3411673989;average
gpr;opp_assistsat15;-0.4096093864;average
total cs;opp_assistsat15;-0.3417233937;average
minionkills;opp_assistsat15;0.4458933294;average
monsterkills;opp_assistsat15;0.4132122640;average
cspm;opp_assistsat15;0.5142878569;average
goldat10;opp_assistsat15;0.5888561191;average
xpat10;opp_assistsat15;0.5611633194;average
csat10;opp_assistsat15;0.5230195685;average
opp_goldat10;opp_assistsat15;0.6285322321;average
opp_xpat10;opp_assistsat15;0.5773090691;average
opp_csat10;opp_assistsat15;0.5337428577;average
golddiffat10;opp_assistsat15;-0.2375239776;low
xpdiffat10;opp_assistsat15;-0.1599746188;low
csdiffat10;opp_assistsat15;-0.0704554734;low
killsat10;opp_assistsat15;0.3969417295;average
assistsat10;opp_assistsat15;0.4285546252;average
deathsat10;opp_assistsat15;0.7083150881;average
opp_killsat10;opp_assistsat15;0.6219004913;average
opp_assistsat10;opp_assistsat15;0.8089852818;high
opp_deathsat10;opp_assistsat15;0.4266813113;average
goldat15;opp_assistsat15;0.5813024478;average
xpat15;opp_assistsat15;0.5565037198;average
csat15;opp_assistsat15;0.5142122221;average
opp_goldat15;opp_assistsat15;0.6410019513;average
opp_xpat15;opp_assistsat15;0.5850137010;average
opp_csat15;opp_assistsat15;0.5297600684;average
golddiffat15;opp_assistsat15;-0.2921265224;low
xpdiffat15;opp_assistsat15;-0.2521978877;low
csdiffat15;opp_assistsat15;-0.1065460218;low
killsat15;opp_assistsat15;0.4496939726;average
assistsat15;opp_assistsat15;0.5028086070;average
deathsat15;opp_assistsat15;0.8550235683;high
opp_killsat15;opp_assistsat15;0.7470612703;average
kills;opp_deathsat15;0.7063246535;average
deaths;opp_deathsat15;0.4758751590;average
assists;opp_deathsat15;0.6736593709;average
teamkills;opp_deathsat15;0.3026886310;average
teamdeaths;opp_deathsat15;-0.0234327048;low
doublekills;opp_deathsat15;0.4894638594;average
triplekills;opp_deathsat15;0.2564334770;low
quadrakills;opp_deathsat15;0.1166313482;low
pentakills;opp_deathsat15;0.0518552050;low
firstblood;opp_deathsat15;0.2995685102;low
firstbloodkill;opp_deathsat15;0.1590902845;low
firstbloodassist;opp_deathsat15;0.1544906562;low
firstbloodvictim;opp_deathsat15;-0.0262356237;low
team kpm;opp_deathsat15;0.3500222342;average
ckpm;opp_deathsat15;0.2916883285;low
firstdragon;opp_deathsat15;0.1255561928;low
dragons;opp_deathsat15;0.1754319905;low
opp_dragons;opp_deathsat15;-0.3249137814;average
elementaldrakes;opp_deathsat15;0.1844808452;low
opp_elementaldrakes;opp_deathsat15;-0.3264364605;average
infernals;opp_deathsat15;0.0657075225;low
mountains;opp_deathsat15;0.0555907517;low
clouds;opp_deathsat15;0.0582086869;low
oceans;opp_deathsat15;0.0621164053;low
chemtechs;opp_deathsat15;0.0652231584;low
hextechs;opp_deathsat15;0.0813595422;low
elders;opp_deathsat15;-0.0204063515;low
opp_elders;opp_deathsat15;-0.0604300164;low
firstherald;opp_deathsat15;0.1111024176;low
heralds;opp_deathsat15;0.2227876632;low
opp_heralds;opp_deathsat15;-0.2239714966;low
firstbaron;opp_deathsat15;0.2118662949;low
barons;opp_deathsat15;0.3272424036;average
opp_barons;opp_deathsat15;0.1662609039;low
firsttower;opp_deathsat15;0.2409591438;low
towers;opp_deathsat15;0.3055574282;average
opp_towers;opp_deathsat15;-0.3272300891;average
firstmidtower;opp_deathsat15;0.2869998885;low
firsttothreetowers;opp_deathsat15;0.3011894951;average
turretplates;opp_deathsat15;0.4126005520;average
opp_turretplates;opp_deathsat15;-0.0903179407;low
inhibitors;opp_deathsat15;0.3806721553;average
opp_inhibitors;opp_deathsat15;0.1375416312;low
damagetochampions;opp_deathsat15;0.5833876222;average
dpm;opp_deathsat15;0.6572620998;average
damageshare;opp_deathsat15;-0.0040912060;low
damagetakenperminute;opp_deathsat15;0.6218383613;average
damagemitigatedperminute;opp_deathsat15;0.5745760025;average
damagetotowers;opp_deathsat15;0.5330613635;average
wardsplaced;opp_deathsat15;0.4585866736;average
wpm;opp_deathsat15;0.5087969247;average
wardskilled;opp_deathsat15;0.4652192726;average
wcpm;opp_deathsat15;0.5210296707;average
controlwardsbought;opp_deathsat15;0.4904921978;average
visionscore;opp_deathsat15;0.5259035498;average
vspm;opp_deathsat15;0.5887964328;average
totalgold;opp_deathsat15;0.6186407799;average
earnedgold;opp_deathsat15;0.6266071418;average
earned gpm;opp_deathsat15;0.6867377547;average
earnedgoldshare;opp_deathsat15;-0.0158193571;low
goldspent;opp_deathsat15;0.6080276949;average
gspd;opp_deathsat15;0.3869942180;average
gpr;opp_deathsat15;0.4724293528;average
total cs;opp_deathsat15;-0.1152597587;low
minionkills;opp_deathsat15;0.5117418032;average
monsterkills;opp_deathsat15;0.4475902248;average
cspm;opp_deathsat15;0.5902991064;average
goldat10;opp_deathsat15;0.6722844567;average
xpat10;opp_deathsat15;0.6218047824;average
csat10;opp_deathsat15;0.5842046615;average
opp_goldat10;opp_deathsat15;0.6207163775;average
opp_xpat10;opp_deathsat15;0.5984129956;average
opp_csat10;opp_deathsat15;0.5651160469;average
golddiffat10;opp_deathsat15;0.3087161109;average
xpdiffat10;opp_deathsat15;0.2317694893;low
csdiffat10;opp_deathsat15;0.1254183629;low
killsat10;opp_deathsat15;0.7526618290;average
assistsat10;opp_deathsat15;0.7177306371;average
deathsat10;opp_deathsat15;0.4562389541;average
opp_killsat10;opp_deathsat15;0.4288260913;average
opp_assistsat10;opp_deathsat15;0.4183720288;average
opp_deathsat10;opp_deathsat15;0.8608531797;high
goldat15;opp_deathsat15;0.6870281263;average
xpat15;opp_deathsat15;0.6310403003;average
csat15;opp_deathsat15;0.5832313465;average
opp_goldat15;opp_deathsat15;0.6134019816;average
opp_xpat15;opp_deathsat15;0.5944298807;average
opp_csat15;opp_deathsat15;0.5569300683;average
golddiffat15;opp_deathsat15;0.3602735091;average
xpdiffat15;opp_deathsat15;0.3238539663;average
csdiffat15;opp_deathsat15;0.1802369603;low
killsat15;opp_deathsat15;0.8704835960;high
assistsat15;opp_deathsat15;0.8550235683;high
deathsat15;opp_deathsat15;0.5189575335;average
opp_killsat15;opp_deathsat15;0.4823189723;average
opp_assistsat15;opp_deathsat15;0.4877400494;average
kills;goldat20;0.7945290657;average
deaths;goldat20;0.7277117553;average
assists;goldat20;0.7643738568;average
teamkills;goldat20;0.0582624785;low
teamdeaths;goldat20;-0.0323997045;low
doublekills;goldat20;0.5465458786;average
triplekills;goldat20;0.3008502855;average
quadrakills;goldat20;0.1365138879;low
pentakills;goldat20;0.0643542398;low
firstblood;goldat20;0.2325217354;low
firstbloodkill;goldat20;0.1940165907;low
firstbloodassist;goldat20;-0.0829617560;low
firstbloodvictim;goldat20;-0.0917692190;low
team kpm;goldat20;0.0684636488;low
ckpm;goldat20;0.0309505188;low
firstdragon;goldat20;0.1902465456;low
dragons;goldat20;0.3619693970;average
opp_dragons;goldat20;-0.4825779491;average
elementaldrakes;goldat20;0.3747651564;average
opp_elementaldrakes;goldat20;-0.4879819162;average
infernals;goldat20;0.1352763044;low
mountains;goldat20;0.1148023861;low
clouds;goldat20;0.1378613280;low
oceans;goldat20;0.1166651821;low
chemtechs;goldat20;0.1287708028;low
hextechs;goldat20;0.1540182529;low
elders;goldat20;-0.0041317480;low
opp_elders;goldat20;-0.0695052376;low
firstherald;goldat20;0.2900130421;low
heralds;goldat20;0.4459700377;average
opp_heralds;goldat20;-0.4419175477;average
firstbaron;goldat20;0.4278413098;average
barons;goldat20;0.4299332957;average
opp_barons;goldat20;0.3755764766;average
firsttower;goldat20;0.5090448486;average
towers;goldat20;0.6060137795;average
opp_towers;goldat20;-0.6161657305;average
firstmidtower;goldat20;0.5345309470;average
firsttothreetowers;goldat20;0.6065030257;average
turretplates;goldat20;0.6683803119;average
opp_turretplates;goldat20;-0.3762860858;average
inhibitors;goldat20;0.4665083705;average
opp_inhibitors;goldat20;0.3790750335;average
damagetochampions;goldat20;0.8698771469;high
dpm;goldat20;0.9278762529;high
damageshare;goldat20;0.7050239062;average
damagetakenperminute;goldat20;0.9306853590;high
damagemitigatedperminute;goldat20;0.8670851019;high
damagetotowers;goldat20;0.7286830209;average
wardsplaced;goldat20;0.7197488504;average
wpm;goldat20;0.7614332936;average
wardskilled;goldat20;0.8029245767;high
wcpm;goldat20;0.8585825961;high
controlwardsbought;goldat20;0.7943766304;average
visionscore;goldat20;0.8371672743;high
vspm;goldat20;0.8927044497;high
totalgold;goldat20;0.9579888066;high
earnedgold;goldat20;0.9461081378;high
earned gpm;goldat20;0.9803061218;high
earnedgoldshare;goldat20;0.8544160552;high
goldspent;goldat20;0.9541382498;high
gspd;goldat20;0.7165678807;average
gpr;goldat20;0.7993243578;average
total cs;goldat20;0.7529979913;average
minionkills;goldat20;0.9087817460;high
monsterkills;goldat20;0.7066521291;average
cspm;goldat20;0.9733526834;high
goldat10;goldat20;0.9950984233;high
xpat10;goldat20;0.9851786396;high
csat10;goldat20;0.9748715517;high
opp_goldat10;goldat20;0.9811101528;high
opp_xpat10;goldat20;0.9787157399;high
opp_csat10;goldat20;0.9659446527;high
golddiffat10;goldat20;0.0844888532;low
xpdiffat10;goldat20;0.0643884538;low
csdiffat10;goldat20;0.0588495636;low
killsat10;goldat20;0.5841880666;average
assistsat10;goldat20;0.5311664304;average
deathsat10;goldat20;0.5247872551;average
opp_killsat10;goldat20;0.5192424465;average
opp_assistsat10;goldat20;0.4817101110;average
opp_deathsat10;goldat20;0.5854179043;average
goldat15;goldat20;0.9979110053;high
xpat15;goldat20;0.9881756086;high
csat15;goldat20;0.9758507547;high
opp_goldat15;goldat20;0.9774111399;high
opp_xpat15;goldat20;0.9792539232;high
opp_csat15;goldat20;0.9655665136;high
golddiffat15;goldat20;0.1015076081;low
xpdiffat15;goldat20;0.0795712580;low
csdiffat15;goldat20;0.0708485961;low
killsat15;goldat20;0.6835784650;average
assistsat15;goldat20;0.6369256383;average
deathsat15;goldat20;0.6122989875;average
opp_killsat15;goldat20;0.6057703986;average
opp_assistsat15;goldat20;0.5773602644;average
opp_deathsat15;goldat20;0.6846031749;average
kills;xpat20;0.7588993698;average
deaths;xpat20;0.7325219166;average
assists;xpat20;0.7395393327;average
teamkills;xpat20;0.0234754430;low
teamdeaths;xpat20;-0.0264400270;low
doublekills;xpat20;0.5126219666;average
triplekills;xpat20;0.2792025434;low
quadrakills;xpat20;0.1248894176;low
pentakills;xpat20;0.0587202392;low
firstblood;xpat20;0.2052800996;low
firstbloodkill;xpat20;0.0433947466;low
firstbloodassist;xpat20;-0.1444048173;low
firstbloodvictim;xpat20;-0.0465085476;low
team kpm;xpat20;0.0267166535;low
ckpm;xpat20;-0.0014978131;low
firstdragon;xpat20;0.1932067630;low
dragons;xpat20;0.3773865889;average
opp_dragons;xpat20;-0.3873920984;average
elementaldrakes;xpat20;0.3878537815;average
opp_elementaldrakes;xpat20;-0.3949368549;average
infernals;xpat20;0.1264396637;low
mountains;xpat20;0.1137251998;low
clouds;xpat20;0.1638345062;low
oceans;xpat20;0.1259786120;low
chemtechs;xpat20;0.1370728259;low
hextechs;xpat20;0.1473792645;low
elders;xpat20;0.0141865317;low
opp_elders;xpat20;-0.0351574825;low
firstherald;xpat20;0.1071981616;low
heralds;xpat20;0.2269967956;low
opp_heralds;xpat20;-0.2225019402;low
firstbaron;xpat20;0.3652992312;average
barons;xpat20;0.4117180174;average
opp_barons;xpat20;0.3826119050;average
firsttower;xpat20;0.3340841920;average
towers;xpat20;0.5004326854;average
opp_towers;xpat20;-0.5044811625;average
firstmidtower;xpat20;0.3818139026;average
firsttothreetowers;xpat20;0.4561511137;average
turretplates;xpat20;0.2831803421;low
opp_turretplates;xpat20;-0.3812289981;average
inhibitors;xpat20;0.4420822420;average
opp_inhibitors;xpat20;0.3965704653;average
damagetochampions;xpat20;0.8647057696;high
dpm;xpat20;0.9168175040;high
damageshare;xpat20;0.6099904626;average
damagetakenperminute;xpat20;0.9365217701;high
damagemitigatedperminute;xpat20;0.8764748553;high
damagetotowers;xpat20;0.7064208686;average
wardsplaced;xpat20;0.7148919637;average
wpm;xpat20;0.7527340286;average
wardskilled;xpat20;0.7995717575;average
wcpm;xpat20;0.8509804060;high
controlwardsbought;xpat20;0.7945265262;average
visionscore;xpat20;0.8338771843;high
vspm;xpat20;0.8846958067;high
totalgold;xpat20;0.9554137656;high
earnedgold;xpat20;0.9392913035;high
earned gpm;xpat20;0.9669307233;high
earnedgoldshare;xpat20;0.6853594935;average
goldspent;xpat20;0.9536197237;high
gspd;xpat20;0.5764869925;average
gpr;xpat20;0.5989061502;average
total cs;xpat20;0.7411788694;average
minionkills;xpat20;0.9227870641;high
monsterkills;xpat20;0.6952057337;average
cspm;xpat20;0.9778518502;high
goldat10;xpat20;0.9901567606;high
xpat10;xpat20;0.9960239176;high
csat10;xpat20;0.9816608540;high
opp_goldat10;xpat20;0.9843923548;high
opp_xpat10;xpat20;0.9923595547;high
opp_csat10;xpat20;0.9771388714;high
golddiffat10;xpat20;0.0348168869;low
xpdiffat10;xpat20;0.0365072446;low
csdiffat10;xpat20;0.0298106543;low
killsat10;xpat20;0.5331030814;average
assistsat10;xpat20;0.4879122194;average
deathsat10;xpat20;0.5146193536;average
opp_killsat10;xpat20;0.5074584121;average
opp_assistsat10;xpat20;0.4675592898;average
opp_deathsat10;xpat20;0.5409901723;average
goldat15;xpat20;0.9903739457;high
xpat15;xpat20;0.9980466900;high
csat15;xpat20;0.9832032000;high
opp_goldat15;xpat20;0.9813315187;high
opp_xpat15;xpat20;0.9923130559;high
opp_csat15;xpat20;0.9774628922;high
golddiffat15;xpat20;0.0447746909;low
xpdiffat15;xpat20;0.0511374764;low
csdiffat15;xpat20;0.0395452364;low
killsat15;xpat20;0.6287395188;average
assistsat15;xpat20;0.5901957412;average
deathsat15;xpat20;0.6011590656;average
opp_killsat15;xpat20;0.5938953006;average
opp_assistsat15;xpat20;0.5614838659;average
opp_deathsat15;xpat20;0.6371827072;average
goldat20;xpat20;0.9915316547;high
kills;csat20;0.7515341063;average
deaths;csat20;0.7009436006;average
assists;csat20;0.6872790730;average
teamkills;csat20;0.0019357447;low
teamdeaths;csat20;-0.0315692945;low
doublekills;csat20;0.5183156419;average
triplekills;csat20;0.2875147867;low
quadrakills;csat20;0.1298727681;low
pentakills;csat20;0.0613007549;low
firstblood;csat20;0.1896251141;low
firstbloodkill;csat20;0.0633674170;low
firstbloodassist;csat20;-0.1548085296;low
firstbloodvictim;csat20;-0.0511162994;low
team kpm;csat20;0.0011414215;low
ckpm;csat20;-0.0303916479;low
firstdragon;csat20;0.1279532281;low
dragons;csat20;0.2807864096;low
opp_dragons;csat20;-0.1680991839;low
elementaldrakes;csat20;0.2844875296;low
opp_elementaldrakes;csat20;-0.1756714314;low
infernals;csat20;0.0857844188;low
mountains;csat20;0.0817719837;low
clouds;csat20;0.1340618419;low
oceans;csat20;0.0870205642;low
chemtechs;csat20;0.1030913806;low
hextechs;csat20;0.1055234000;low
elders;csat20;0.0368575856;low
opp_elders;csat20;0.0124086488;low
firstherald;csat20;0.0710952393;low
heralds;csat20;0.1323015657;low
opp_heralds;csat20;-0.1276019497;low
firstbaron;csat20;0.2319357809;low
barons;csat20;0.4019314954;average
opp_barons;csat20;0.3789955810;average
firsttower;csat20;0.2406133554;low
towers;csat20;0.3283700509;average
opp_towers;csat20;-0.3056517593;average
firstmidtower;csat20;0.2341753432;low
firsttothreetowers;csat20;0.3018151899;average
turretplates;csat20;0.1474490440;low
opp_turretplates;csat20;-0.3817756580;average
inhibitors;csat20;0.4467237966;average
opp_inhibitors;csat20;0.4078749666;average
damagetochampions;csat20;0.8659395612;high
dpm;csat20;0.9135990686;high
damageshare;csat20;0.7404996108;average
damagetakenperminute;csat20;0.9057389056;high
damagemitigatedperminute;csat20;0.8450616951;high
damagetotowers;csat20;0.7204552991;average
wardsplaced;csat20;0.6587776904;average
wpm;csat20;0.6915124869;average
wardskilled;csat20;0.7835243898;average
wcpm;csat20;0.8309358038;high
controlwardsbought;csat20;0.7476004688;average
visionscore;csat20;0.7857518910;average
vspm;csat20;0.8304940070;high
totalgold;csat20;0.9471837076;high
earnedgold;csat20;0.9400579926;high
earned gpm;csat20;0.9633864927;high
earnedgoldshare;csat20;0.8811271664;high
goldspent;csat20;0.9460247906;high
gspd;csat20;0.3680282177;average
gpr;csat20;0.4014205771;average
total cs;csat20;0.9171261977;high
minionkills;csat20;0.9509894560;high
monsterkills;csat20;0.6851107061;average
cspm;csat20;0.9962667243;high
goldat10;csat20;0.9737866178;high
xpat10;csat20;0.9781237502;high
csat10;csat20;0.9956566068;high
opp_goldat10;csat20;0.9671648509;high
opp_xpat10;csat20;0.9742228788;high
opp_csat10;csat20;0.9870786875;high
golddiffat10;csat20;0.0399953303;low
xpdiffat10;csat20;0.0388635279;low
csdiffat10;csat20;0.0565489546;low
killsat10;csat20;0.5141171606;average
assistsat10;csat20;0.4442663564;average
deathsat10;csat20;0.4824367286;average
opp_killsat10;csat20;0.4934224282;average
opp_assistsat10;csat20;0.4314291636;average
opp_deathsat10;csat20;0.5032998837;average
goldat15;csat20;0.9751471737;high
xpat15;csat20;0.9818285403;high
csat15;csat20;0.9980197008;high
opp_goldat15;csat20;0.9657174265;high
opp_xpat15;csat20;0.9764783946;high
opp_csat15;csat20;0.9884771565;high
golddiffat15;csat20;0.0466925546;low
xpdiffat15;csat20;0.0477171971;low
csdiffat15;csat20;0.0657390138;low
killsat15;csat20;0.6043887553;average
assistsat15;csat20;0.5337200773;average
deathsat15;csat20;0.5637272572;average
opp_killsat15;csat20;0.5790581706;average
opp_assistsat15;csat20;0.5177898224;average
opp_deathsat15;csat20;0.5891795775;average
goldat20;csat20;0.9761623868;high
xpat20;csat20;0.9833623455;high
kills;opp_goldat20;0.7131449473;average
deaths;opp_goldat20;0.8042207797;high
assists;opp_goldat20;0.6981108288;average
teamkills;opp_goldat20;-0.0325023285;low
teamdeaths;opp_goldat20;0.0582220492;low
doublekills;opp_goldat20;0.4690136036;average
triplekills;opp_goldat20;0.2526446822;low
quadrakills;opp_goldat20;0.1135999898;low
pentakills;opp_goldat20;0.0528456405;low
firstblood;opp_goldat20;0.1805004129;low
firstbloodkill;opp_goldat20;-0.0036279233;low
firstbloodassist;opp_goldat20;-0.1708273821;low
firstbloodvictim;opp_goldat20;0.0633991892;low
team kpm;opp_goldat20;-0.0323495326;low
ckpm;opp_goldat20;0.0309505188;low
firstdragon;opp_goldat20;-0.1903711844;low
dragons;opp_goldat20;-0.4825779491;average
opp_dragons;opp_goldat20;0.3619693970;average
elementaldrakes;opp_goldat20;-0.4879819162;average
opp_elementaldrakes;opp_goldat20;0.3747651564;average
infernals;opp_goldat20;-0.1667086405;low
mountains;opp_goldat20;-0.1726896348;low
clouds;opp_goldat20;-0.1713242350;low
oceans;opp_goldat20;-0.1747009006;low
chemtechs;opp_goldat20;-0.1662752986;low
hextechs;opp_goldat20;-0.1725780386;low
elders;opp_goldat20;-0.0695052376;low
opp_elders;opp_goldat20;-0.0041317480;low
firstherald;opp_goldat20;-0.2896767870;low
heralds;opp_goldat20;-0.4419175477;average
opp_heralds;opp_goldat20;0.4459700377;average
firstbaron;opp_goldat20;-0.4445378953;average
barons;opp_goldat20;0.3755764766;average
opp_barons;opp_goldat20;0.4299332957;average
firsttower;opp_goldat20;-0.5090448486;average
towers;opp_goldat20;-0.6161657305;average
opp_towers;opp_goldat20;0.6060137795;average
firstmidtower;opp_goldat20;-0.5345309470;average
firsttothreetowers;opp_goldat20;-0.6065030257;average
turretplates;opp_goldat20;-0.3762860858;average
opp_turretplates;opp_goldat20;0.6683803119;average
inhibitors;opp_goldat20;0.3790750335;average
opp_inhibitors;opp_goldat20;0.4665083705;average
damagetochampions;opp_goldat20;0.8414885788;high
dpm;opp_goldat20;0.8929953548;high
damageshare;opp_goldat20;0.5523701635;average
damagetakenperminute;opp_goldat20;0.9421158644;high
damagemitigatedperminute;opp_goldat20;0.8660861484;high
damagetotowers;opp_goldat20;0.6381185396;average
wardsplaced;opp_goldat20;0.7140927165;average
wpm;opp_goldat20;0.7544291991;average
wardskilled;opp_goldat20;0.7921127829;average
wcpm;opp_goldat20;0.8457593778;high
controlwardsbought;opp_goldat20;0.7853930347;average
visionscore;opp_goldat20;0.8216310305;high
vspm;opp_goldat20;0.8741599730;high
totalgold;opp_goldat20;0.9328865721;high
earnedgold;opp_goldat20;0.9078709593;high
earned gpm;opp_goldat20;0.9348667940;high
earnedgoldshare;opp_goldat20;0.6655214962;average
goldspent;opp_goldat20;0.9353503282;high
gspd;opp_goldat20;-0.7165678807;average
gpr;opp_goldat20;-0.7993243578;average
total cs;opp_goldat20;0.6475904619;average
minionkills;opp_goldat20;0.9021892453;high
monsterkills;opp_goldat20;0.6866807851;average
cspm;opp_goldat20;0.9612017142;high
goldat10;opp_goldat20;0.9811101528;high
xpat10;opp_goldat20;0.9787157399;high
csat10;opp_goldat20;0.9659446527;high
opp_goldat10;opp_goldat20;0.9950984233;high
opp_xpat10;opp_goldat20;0.9851786396;high
opp_csat10;opp_goldat20;0.9748715517;high
golddiffat10;opp_goldat20;-0.0844888532;low
xpdiffat10;opp_goldat20;-0.0643884538;low
csdiffat10;opp_goldat20;-0.0588495636;low
killsat10;opp_goldat20;0.5192424465;average
assistsat10;opp_goldat20;0.4817101110;average
deathsat10;opp_goldat20;0.5854179043;average
opp_killsat10;opp_goldat20;0.5841880666;average
opp_assistsat10;opp_goldat20;0.5311664304;average
opp_deathsat10;opp_goldat20;0.5247872551;average
goldat15;opp_goldat20;0.9774111399;high
xpat15;opp_goldat20;0.9792539232;high
csat15;opp_goldat20;0.9655665136;high
opp_goldat15;opp_goldat20;0.9979110053;high
opp_xpat15;opp_goldat20;0.9881756086;high
opp_csat15;opp_goldat20;0.9758507547;high
golddiffat15;opp_goldat20;-0.1015076081;low
xpdiffat15;opp_goldat20;-0.0795712580;low
csdiffat15;opp_goldat20;-0.0708485961;low
killsat15;opp_goldat20;0.6057703986;average
assistsat15;opp_goldat20;0.5773602644;average
deathsat15;opp_goldat20;0.6846031749;average
opp_killsat15;opp_goldat20;0.6835784650;average
opp_assistsat15;opp_goldat20;0.6369256383;average
opp_deathsat15;opp_goldat20;0.6122989875;average
goldat20;opp_goldat20;0.9745586958;high
xpat20;opp_goldat20;0.9790589263;high
csat20;opp_goldat20;0.9647502450;high
kills;opp_xpat20;0.7163721471;average
deaths;opp_xpat20;0.7756488472;average
assists;opp_xpat20;0.7021713190;average
teamkills;opp_xpat20;-0.0264507955;low
teamdeaths;opp_xpat20;0.0234261709;low
doublekills;opp_xpat20;0.4716890169;average
triplekills;opp_xpat20;0.2535614560;low
quadrakills;opp_xpat20;0.1127093939;low
pentakills;opp_xpat20;0.0524146203;low
firstblood;opp_xpat20;0.1862632528;low
firstbloodkill;opp_xpat20;-0.0097445964;low
firstbloodassist;opp_xpat20;-0.1737458446;low
firstbloodvictim;opp_xpat20;0.0069476545;low
team kpm;opp_xpat20;-0.0284642353;low
ckpm;opp_xpat20;-0.0014978131;low
firstdragon;opp_xpat20;-0.1929697725;low
dragons;opp_xpat20;-0.3873920984;average
opp_dragons;opp_xpat20;0.3773865889;average
elementaldrakes;opp_xpat20;-0.3949368549;average
opp_elementaldrakes;opp_xpat20;0.3878537815;average
infernals;opp_xpat20;-0.1480746279;low
mountains;opp_xpat20;-0.1457790628;low
clouds;opp_xpat20;-0.1191978549;low
oceans;opp_xpat20;-0.1416306425;low
chemtechs;opp_xpat20;-0.1340473762;low
hextechs;opp_xpat20;-0.1403297004;low
elders;opp_xpat20;-0.0351574825;low
opp_elders;opp_xpat20;0.0141865317;low
firstherald;opp_xpat20;-0.1071363356;low
heralds;opp_xpat20;-0.2225019402;low
opp_heralds;opp_xpat20;0.2269967956;low
firstbaron;opp_xpat20;-0.3577252248;average
barons;opp_xpat20;0.3826119050;average
opp_barons;opp_xpat20;0.4117180174;average
firsttower;opp_xpat20;-0.3340841920;average
towers;opp_xpat20;-0.5044811625;average
opp_towers;opp_xpat20;0.5004326854;average
firstmidtower;opp_xpat20;-0.3818139026;average
firsttothreetowers;opp_xpat20;-0.4561511137;average
turretplates;opp_xpat20;-0.3812289981;average
opp_turretplates;opp_xpat20;0.2831803421;low
inhibitors;opp_xpat20;0.3965704653;average
opp_inhibitors;opp_xpat20;0.4420822420;average
damagetochampions;opp_xpat20;0.8500644816;high
dpm;opp_xpat20;0.8987789882;high
damageshare;opp_xpat20;0.5494437315;average
damagetakenperminute;opp_xpat20;0.9424512700;high
damagemitigatedperminute;opp_xpat20;0.8746738710;high
damagetotowers;opp_xpat20;0.6603230093;average
wardsplaced;opp_xpat20;0.7124487516;average
wpm;opp_xpat20;0.7496242060;average
wardskilled;opp_xpat20;0.7941758136;average
wcpm;opp_xpat20;0.8445324483;high
controlwardsbought;opp_xpat20;0.7906398362;average
visionscore;opp_xpat20;0.8263165132;high
vspm;opp_xpat20;0.8755984225;high
totalgold;opp_xpat20;0.9425334138;high
earnedgold;opp_xpat20;0.9196712052;high
earned gpm;opp_xpat20;0.9435630521;high
earnedgoldshare;opp_xpat20;0.6114614139;average
goldspent;opp_xpat20;0.9442420303;high
gspd;opp_xpat20;-0.5764869925;average
gpr;opp_xpat20;-0.5989061502;average
total cs;opp_xpat20;0.6830417178;average
minionkills;opp_xpat20;0.9187769492;high
monsterkills;opp_xpat20;0.6832578610;average
cspm;opp_xpat20;0.9706098318;high
goldat10;opp_xpat20;0.9843923548;high
xpat10;opp_xpat20;0.9923595547;high
csat10;opp_xpat20;0.9771388714;high
opp_goldat10;opp_xpat20;0.9901567606;high
opp_xpat10;opp_xpat20;0.9960239176;high
opp_csat10;opp_xpat20;0.9816608540;high
golddiffat10;opp_xpat20;-0.0348168869;low
xpdiffat10;opp_xpat20;-0.0365072446;low
csdiffat10;opp_xpat20;-0.0298106543;low
killsat10;opp_xpat20;0.5074584121;average
assistsat10;opp_xpat20;0.4675592898;average
deathsat10;opp_xpat20;0.5409901723;average
opp_killsat10;opp_xpat20;0.5331030814;average
opp_assistsat10;opp_xpat20;0.4879122194;average
opp_deathsat10;opp_xpat20;0.5146193536;average
goldat15;opp_xpat20;0.9813315187;high
xpat15;opp_xpat20;0.9923130559;high
csat15;opp_xpat20;0.9774628922;high
opp_goldat15;opp_xpat20;0.9903739457;high
opp_xpat15;opp_xpat20;0.9980466900;high
opp_csat15;opp_xpat20;0.9832032000;high
golddiffat15;opp_xpat20;-0.0447746909;low
xpdiffat15;opp_xpat20;-0.0511374764;low
csdiffat15;opp_xpat20;-0.0395452364;low
killsat15;opp_xpat20;0.5938953006;average
assistsat15;opp_xpat20;0.5614838659;average
deathsat15;opp_xpat20;0.6371827072;average
opp_killsat15;opp_xpat20;0.6287395188;average
opp_assistsat15;opp_xpat20;0.5901957412;average
